Chinese_Address,English_Address,DESCRIPTION,state,Hours,Latitude,Longtitude,image,NAME
,"City Point Building
445 Albee Square West
",Inside Dekalb Market Hall,"Brooklyn, New York, U.S.","Sunday - Wednesday: 11am - 9pm
Thursday - Saturday: 11am - 10pm",40.691024,-73.985504,Jianbing_Company_1.jpg,Jianbing Company
,"Hell's Kitchen
600 11th Ave
New York, NY, 10036",,"Brooklyn, New York, U.S.","Sunday - Thursday: 11am - 10pm
Friday - Saturday: 11am - 11pm",40.762413,-73.996744,Jianbing_Company_2.jpg,Jianbing Company
,"90 Kent Ave Williamsburg, NY",Smorgasburg Finest Jianbing,"Brooklyn, New York, U.S.","Saturday: 11am - 8pm
Sunday: 11am - 5pm
",40.7214893,-73.9621174,Jianbing_Company_3.jpg,Jianbing Company
,"Crown Heights
899 Bergen Street
Brooklyn, NY 11238",,"Brooklyn, New York, U.S.","Tues, Fri and Sat 11am - 10pm
Wed, Thurs 11am - 3pm
Sun 11am - 9pm",40.677394,-73.957648,Jianbing_Company_4.jpg,Jianbing Company
,"230 Park Ave,
New York, NY 10169",,"New York, New York","10AM-9PM (Weekdays, Mon-Fri)
11AM-5PM (Weekends, Sat-Sun)",40.754754,"40.754754, ",Mr_bing_1.jpg,Mr Bing
,"8 West 46th St,
NY, NY 10036 ",,"New York, New York","Mon-Fri 10am-9pm
Sat 11am-5pm
Sun Closed",40.756362,-73.979853,Mr_bing_2.jpg,Mr Bing
,"152 West 28th St,
New York, NY 10001 ",,"New York, New York","10AM - 6:30PM (Weekdays, Mon-Fri)
CLOSED (Saturday & Sunday)",40.747016,-73.992822,Mr_bing_3.jpg,Mr Bing
,"2800N Main St #1048  Santa Ana, CA 92705",,California,"Mon - Fri: 11am - 8:30 pm
​​Sat - Sun: 11am - 8 pm",33.7754537,-117.8699373,Ms_Bean.jpg,Ms Bean
,"
2 Marina Blvd,
San Francisco, California 94123",,California,"​Every Friday
05:00pm - 10:00pm",37.805621,-122.432544,Taichi_Jianbing_1.jpg,Tai Chi Jianbing
,"
1325 9th Ave,
San Francisco, California 94122

​",,California,Tues - Sun 9:00 AM to 2:30 PM,37.7635407,-122.4664345,Taichi_JIanbing_2.jpg,Tai Chi Jianbing
,"4730 University Way NE, Seattle, Washington 98105, United States",,"Seattle, Washington","Mon- Thurs, Sunday
10:00 am – 8:00 pm
Fri , Sat
10:00 am – 11:45 pm
",47.668769,-122.313782,BCZhang.jpg,BCZhang
,"23 Greek Street, Soho
London, United Kingdom",,"London, UK",Mon - Sun 12PM to 8PM,51.513775,-0.130549,Pleasant_Lady_1.jpg,Pleasant Lady Jian Bing Trading Stall
,Old Spitalfields Market,,"London, UK",,51.5196411,-0.0778045,Pleasant_Lady_2.jpg,Pleasant Lady Jian Bing Trading Stall
,"SW 9th & Alder
Portland, OR 97204",,"Portland, Oregon",Mon - Sun 7:30 AM to 3 PM,45.520468,-122.680796,Bing_Mi_1.jpg,Bing Mi Food Truck
,"6035 Northeast Halsey Street, Portland, Oregon 97213, United States",,,,45.534584,-122.600973,Bing_Mi_2.jpg,Bing Mi Food Truck
,"232 SW Washington St
Portland, OR 97204",,"Portland, Oregon",Mon to Fri       11:00 am - 4:00 pm,45.519499,-122.674424,Stretch.jpg,Stretch the Noodle
,"181A-181G Wan Chai Rd
Morrison Hill, Wan Chai",灣仔灣仔道181A地下A鋪，集成中心對面/ 活道 ,Hong Kong,Mon - Sun 11:30 AM - 9:30 PM,22.277375,114.177763,Yu_Chi_HK.jpg,御廚煎餅 Yu Chu Jian Bing
,"Xuzhou City, Jiangsu Province",Wenchan Campus Jianbing,,,34.2175537,117.1682993,Nsangou.jpg,China University of Mining and Technology 
萍乡市,,"Roving Cart in Pingxiang, Jiangxi",,,27.6232976,113.8006759,pingxiang.jpeg,Pingxiang City Jianbing
天津市古文化街,,Tianjin Ancient Culture Street,,,39.1437226,117.1905789,tianjin.jpeg,Tianjin Culture Street
,"G4 8 Cape Street, The Malabar, Dickson, ACT",,,,-35.2516131,149.1353182,littlewu1.jpg,Little Wu Jianbing
,"21 Wentworth Ave, Old Bus Depot Markets, Kingston ACT",,,,-35.3126396,149.141931,littlewu2.jpg,Little Wu Jianbing - Sunday only
深圳市罗湖区南庆街1-58号，距深圳地铁1/3号线老街站C口步行60m,"1-58 Nanqing St Luohu, Shenzhen. About 60m from exit C of Laojie station on the SZ Metro)",,,,22.54709997,114.1127338,shenzhen.jpg,Shenzhen Metro
,"Via Paolo Sarpi, 27, 20154 Milano MI, Italy",Italian Jianbings! Mammamia!,,,45.4813436,9.1737443,milan.png,Ravioleria Sarpi
